seed,mode,scenario,requests,success_rate,user_facing_connect_failures,primary_connect_attempts,backup_selections,preemptive_failovers,warm_hits,recovery_probes_ok,recovery_probes_fail,background_prewarm_connects,physical_connects,mean_checkout_latency_sim_ms
7,circuit_breaker,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
7,circuit_breaker,pattern-shift-h14,90,1.0000,5,47,43,0,0,0,0,0,90,22.611
7,circuit_breaker,pattern-shift-h15,90,0.9889,3,0,90,0,0,0,0,0,89,20.222
7,predictive,morning-healthy,100,1.0000,2,8,92,90,90,1,2,89,10,2.400
7,predictive,bad-window,100,1.0000,1,0,100,99,99,0,4,99,1,0.200
7,predictive,evening-stable,80,1.0000,2,10,70,68,68,1,2,68,12,3.625
7,predictive,window-start,181,1.0000,0,0,181,181,181,0,0,181,0,0.000
7,predictive,reuse-off,1000,1.0000,8,992,8,0,0,0,0,0,1000,20.000
7,predictive,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
7,predictive,pattern-shift-h14,90,1.0000,3,31,59,56,56,2,1,55,34,9.278
7,predictive,pattern-shift-h15,90,1.0000,0,0,90,90,90,0,3,90,0,0.000
8,reactive,morning-healthy,100,1.0000,12,88,12,0,0,0,0,0,100,24.400
8,reactive,bad-window,100,0.9900,86,15,84,0,0,0,0,0,99,20.950
8,reactive,evening-stable,80,1.0000,18,62,18,0,0,0,0,0,80,23.875
8,reactive,window-start,181,0.9890,1,61,118,0,0,0,0,0,179,21.906
8,reactive,reuse-off,1000,1.0000,13,987,13,0,0,0,0,0,1000,20.000
8,reactive,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
8,reactive,pattern-shift-h14,90,1.0000,7,83,7,0,0,0,0,0,90,24.611
8,reactive,pattern-shift-h15,90,0.9667,83,10,77,0,0,0,0,0,87,21.222
8,circuit_breaker,morning-healthy,100,0.9900,5,23,77,0,0,0,0,0,99,21.350
8,circuit_breaker,bad-window,100,0.9900,3,0,100,0,0,0,0,0,99,20.200
8,circuit_breaker,evening-stable,80,1.0000,6,46,34,0,0,0,0,0,80,22.875
8,circuit_breaker,window-start,181,0.9945,0,0,181,0,0,0,0,0,180,20.110
8,circuit_breaker,reuse-off,1000,1.0000,13,987,13,0,0,0,0,0,1000,20.000
8,circuit_breaker,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
8,circuit_breaker,pattern-shift-h14,90,1.0000,6,68,22,0,0,0,0,0,90,23.778
8,circuit_breaker,pattern-shift-h15,90,0.9667,5,0,90,0,0,0,0,0,87,20.667
8,predictive,morning-healthy,100,1.0000,2,8,92,90,90,2,2,90,10,2.400
8,predictive,bad-window,100,1.0000,0,0,100,100,100,0,4,99,0,0.000
8,predictive,evening-stable,80,1.0000,2,6,74,72,72,1,2,72,8,2.375
8,predictive,window-start,181,1.0000,0,0,181,181,181,0,0,181,0,0.000
8,predictive,reuse-off,1000,1.0000,13,987,13,0,0,0,0,0,1000,20.000
8,predictive,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
8,predictive,pattern-shift-h14,90,1.0000,3,5,85,82,82,2,1,81,8,2.056
8,predictive,pattern-shift-h15,90,1.0000,0,0,90,90,90,0,3,90,0,0.000
9,reactive,morning-healthy,100,1.0000,11,89,11,0,0,0,0,0,100,24.450
9,reactive,bad-window,100,0.9700,89,14,83,0,0,0,0,0,97,21.300
9,reactive,evening-stable,80,1.0000,18,62,18,0,0,0,0,0,80,23.875
9,reactive,window-start,181,1.0000,0,58,123,0,0,0,0,0,181,21.602
9,reactive,reuse-off,1000,1.0000,11,989,11,0,0,0,0,0,1000,20.000
9,reactive,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
9,reactive,pattern-shift-h14,90,1.0000,15,75,15,0,0,0,0,0,90,24.167
9,reactive,pattern-shift-h15,90,1.0000,73,17,73,0,0,0,0,0,90,20.944
9,circuit_breaker,morning-healthy,100,0.9700,8,11,89,0,0,0,0,0,97,21.150
9,circuit_breaker,bad-window,100,1.0000,2,0,100,0,0,0,0,0,100,20.000
9,circuit_breaker,evening-stable,80,1.0000,4,42,38,0,0,0,0,0,80,22.625
9,circuit_breaker,window-start,181,1.0000,0,0,181,0,0,0,0,0,181,20.000
9,circuit_breaker,reuse-off,1000,1.0000,11,989,11,0,0,0,0,0,1000,20.000
9,circuit_breaker,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
9,circuit_breaker,pattern-shift-h14,90,1.0000,5,9,81,0,0,0,0,0,90,20.500
9,circuit_breaker,pattern-shift-h15,90,0.9889,3,0,90,0,0,0,0,0,89,20.222
9,predictive,morning-healthy,100,1.0000,3,16,84,81,81,0,3,80,19,4.600
9,predictive,bad-window,100,1.0000,0,0,100,100,100,0,4,99,0,0.000
9,predictive,evening-stable,80,1.0000,4,38,42,38,38,1,2,38,42,12.888
9,predictive,window-start,181,1.0000,0,0,181,181,181,0,0,181,0,0.000
9,predictive,reuse-off,1000,1.0000,11,989,11,0,0,1,0,8,1000,20.000
9,predictive,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
9,predictive,pattern-shift-h14,90,1.0000,1,0,90,89,89,1,2,88,1,0.300
9,predictive,pattern-shift-h15,90,1.0000,0,0,90,90,90,0,3,90,0,0.022
10,reactive,morning-healthy,100,1.0000,12,88,12,0,0,0,0,0,100,24.400
10,reactive,bad-window,100,0.9900,88,13,86,0,0,0,0,0,99,20.850
10,reactive,evening-stable,80,1.0000,7,73,7,0,0,0,0,0,80,24.563
10,reactive,window-start,181,1.0000,0,70,111,0,0,0,0,0,181,21.934
10,reactive,reuse-off,1000,1.0000,15,985,15,0,0,0,0,0,1000,20.000
10,reactive,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
10,reactive,pattern-shift-h14,90,1.0000,8,82,8,0,0,0,0,0,90,24.556
10,reactive,pattern-shift-h15,90,0.9889,77,14,75,0,0,0,0,0,89,21.000
10,circuit_breaker,morning-healthy,100,0.9900,5,4,96,0,0,0,0,0,99,20.400
10,circuit_breaker,bad-window,100,1.0000,2,0,100,0,0,0,0,0,100,20.000
10,circuit_breaker,evening-stable,80,1.0000,5,21,59,0,0,0,0,0,80,21.313
10,circuit_breaker,window-start,181,0.9945,1,0,181,0,0,0,0,0,180,20.110
10,circuit_breaker,reuse-off,1000,1.0000,15,985,15,0,0,0,0,0,1000,20.000
10,circuit_breaker,reuse-on,1000,1.0000,0,1,0,0,0,0,0,0,1,20.000
10,circuit_breaker,pattern-shift-h14,90,0.9889,6,48,42,0,0,0,0,0,89,22.889
10,circuit_breaker,pattern-shift-h15,90,1.0000,2,0,90,0,0,0,0,0,90,20.000
10,predictive,morning-healthy,100,1.0000,2,13,87,85,85,1,2,84,15,3.650
